     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     CBLAS;           0.016;           0.000;           0.000;          1;         31;           6.691;           7.677;          95.935;          10.989;          15.252 (138.794 %);    694.260
     CBLAS;           0.031;           0.000;           0.000;          2;         31;           5.333;           7.871;         104.355;          10.953;          16.768 (153.090 %);   1393.105
     CBLAS;           0.062;           0.000;           0.000;          4;         31;           9.662;           8.968;          97.355;          11.790;          15.362 (130.296 %);   2588.466
     CBLAS;           0.125;           0.000;           0.000;          8;         31;          16.774;           9.355;          99.774;          12.283;          15.709 (127.894 %);   4969.277
     CBLAS;           0.250;           0.000;           0.000;         16;         31;          68.635;          12.484;          97.129;          15.217;          14.706 (96.644 %);   8021.965
     CBLAS;           0.500;           0.000;           0.000;         32;         31;         195.458;          20.839;         118.226;          24.017;          16.913 (70.421 %);  10165.487
     CBLAS;           1.000;           0.001;           0.000;         64;         31;         304.282;          45.419;         248.129;          54.438;          37.876 (69.576 %);   8969.505
     CBLAS;           2.000;           0.002;           0.000;        128;         31;         665.956;          92.742;        1051.129;         132.793;         168.048 (126.549 %);   7354.034
     CBLAS;           4.000;           0.004;           0.000;        256;         31;       14625.559;         230.613;         319.387;         234.727;          15.213 ( 6.481 %);   8320.827
     CBLAS;           8.000;           0.008;           0.000;        512;         31;        2991.309;         516.935;         876.581;         542.399;          71.383 (13.161 %);   7201.804
     CBLAS;          16.000;           0.016;           0.000;       1024;         31;       11088.887;        1086.645;        1178.129;        1089.794;          15.859 ( 1.455 %);   7168.788
     CBLAS;          32.000;           0.031;           0.000;       2048;         31;       16457.035;        2227.516;        2850.258;        2246.838;         108.325 ( 4.821 %);   6954.218
     CBLAS;          64.000;           0.062;           0.000;       4096;         31;       40995.602;        4506.323;        5660.323;        4627.151;         280.406 ( 6.060 %);   6753.616
     CBLAS;         128.000;           0.125;           0.000;       8192;         31;       89320.096;        9072.032;       12111.645;        9525.300;         828.268 ( 8.695 %);   6561.473
     CBLAS;         256.000;           0.250;           0.000;      16384;         31;      406234.394;       18192.774;       23541.419;       19045.508;        1479.625 ( 7.769 %);   6563.227
     CBLAS;         512.000;           0.500;           0.000;      32768;         31;     3599444.523;       36441.516;       39762.258;       36656.695;         689.546 ( 1.881 %);   6820.037
     CBLAS;        1024.000;           1.000;           0.001;      65536;         31;      757318.767;       72938.613;       73348.097;       72991.978;          73.900 ( 0.101 %);   6850.068
     CBLAS;        2048.000;           2.000;           0.002;     131072;         31;     2213737.405;      145975.226;      151827.968;      146467.448;        1198.009 ( 0.818 %);   6827.456
     CBLAS;        4096.000;           4.000;           0.004;     262144;         31;     8094327.197;      291972.581;      297765.387;      292574.219;        1108.749 ( 0.379 %);   6835.872
     CBLAS;        8192.000;           8.000;           0.008;     524288;         31;     7504649.599;      584972.161;      630200.129;      588111.296;        7912.359 ( 1.345 %);   6801.434
     CBLAS;       16384.000;          16.000;           0.016;    1048576;         31;    13410145.043;     1195173.194;     1260064.774;     1200730.017;       13745.770 ( 1.145 %);   6662.613
