     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   UNROLL8;           0.016;           0.000;           0.000;          1;         31;           1.211;           4.419;           7.742;           4.685;           0.579 (12.363 %);   1628.389
   UNROLL8;           0.031;           0.000;           0.000;          2;         31;           7.115;           6.129;           9.387;           6.349;           0.569 ( 8.962 %);   2403.347
   UNROLL8;           0.062;           0.000;           0.000;          4;         31;           5.614;           9.226;          11.742;           9.522;           0.440 ( 4.616 %);   3204.957
   UNROLL8;           0.125;           0.000;           0.000;          8;         31;         282.633;           7.452;          11.516;           7.674;           0.692 ( 9.018 %);   7952.995
   UNROLL8;           0.250;           0.000;           0.000;         16;         31;          86.845;          11.742;          14.677;          12.032;           0.521 ( 4.331 %);  10145.254
   UNROLL8;           0.500;           0.000;           0.000;         32;         31;         106.014;          20.935;          24.419;          21.232;           0.623 ( 2.934 %);  11498.889
   UNROLL8;           1.000;           0.001;           0.000;         64;         31;        1116.815;          38.806;          41.387;          39.253;           0.436 ( 1.111 %);  12439.280
   UNROLL8;           2.000;           0.002;           0.000;        128;         31;        2411.254;          83.226;         667.065;         107.819;         100.517 (93.227 %);   9057.412
   UNROLL8;           4.000;           0.004;           0.000;        256;         31;         994.705;         154.000;         156.935;         154.830;           0.543 ( 0.351 %);  12614.649
   UNROLL8;           8.000;           0.008;           0.000;        512;         31;       11957.461;         297.032;         299.000;         297.883;           0.450 ( 0.151 %);  13113.383
   UNROLL8;          16.000;           0.016;           0.000;       1024;         31;       24304.535;         583.226;        1121.839;         608.671;          93.344 (15.336 %);  12835.350
   UNROLL8;          32.000;           0.031;           0.000;       2048;         31;       18809.008;        1154.839;        1158.935;        1155.850;           0.760 ( 0.066 %);  13518.185
   UNROLL8;          64.000;           0.062;           0.000;       4096;         31;       39444.322;        2299.774;        4494.290;        2469.000;         437.047 (17.701 %);  12656.946
   UNROLL8;         128.000;           0.125;           0.000;       8192;         31;       82814.701;        4765.258;        5930.161;        4895.557;         310.374 ( 6.340 %);  12766.678
   UNROLL8;         256.000;           0.250;           0.000;      16384;         31;      157890.219;        9522.742;       12332.387;        9911.836;         799.577 ( 8.067 %);  12611.186
   UNROLL8;         512.000;           0.500;           0.000;      32768;         31;      334583.836;       19059.258;       24035.290;       20036.979;        1612.383 ( 8.047 %);  12476.930
   UNROLL8;        1024.000;           1.000;           0.001;      65536;         31;      797474.546;       38165.645;       44975.645;       39661.147;        1744.706 ( 4.399 %);  12606.796
   UNROLL8;        2048.000;           2.000;           0.002;     131072;         31;     1418044.635;       77618.871;       89726.710;       80718.072;        3058.236 ( 3.789 %);  12388.799
   UNROLL8;        4096.000;           4.000;           0.004;     262144;         31;     3337794.301;      156325.774;      190250.613;      164546.493;        6931.443 ( 4.212 %);  12154.619
   UNROLL8;        8192.000;           8.000;           0.008;     524288;         31;     8030347.069;      315766.774;      350264.258;      333079.983;        7771.975 ( 2.333 %);  12009.128
   UNROLL8;       16384.000;          16.000;           0.016;    1048576;         31;    14729241.366;      732741.161;      841141.839;      770235.210;       18329.553 ( 2.380 %);  10386.438
